Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Context-Sensitive Cognitive and Educational Testing","Educational Psychology Review","","30","3","10.1007/s10648-017-9428-0","Robert J. Sternberg","2018","http://link.springer.com/article/10.1007/s10648-017-9428-0","Article"
"Intelligence, Personality, and Game Play: a Pilot Study","Atlantic Economic Journal","","44","3","10.1007/s11293-016-9502-x","Keri A. PotterPaul L. Hettler","2016","http://link.springer.com/article/10.1007/s11293-016-9502-x","Article"
"The neuroscience of human intelligence differences","Nature Reviews Neuroscience","","11","3","10.1038/nrn2793","Ian J. DearyLars PenkeWendy Johnson","2010","http://link.springer.com/article/10.1038/nrn2793","Article"
"Universal Intelligence: A Definition of Machine Intelligence","Minds and Machines","","17","4","10.1007/s11023-007-9079-x","Shane LeggMarcus Hutter","2007","http://link.springer.com/article/10.1007/s11023-007-9079-x","Article"
"Dealing constructively with negatively evaluated emotional situations: the key to understanding the different reactions of teachers with high and low levels of emotional intelligence","Social Psychology of Education","","10","4","10.1007/s11218-007-9025-z","Chris PerryIan Ball","2007","http://link.springer.com/article/10.1007/s11218-007-9025-z","Article"
"A Relational Frame Training Intervention to Raise Intelligence Quotients: A Pilot Study","The Psychological Record","","61","2","10.1007/BF03395755","Sarah CassidyBryan RocheSteven C. Hayes","2011","http://link.springer.com/article/10.1007/BF03395755","Article"
"A Multiple Component Positive Psychology Intervention to Reduce Anxiety and Increase Happiness in Adolescents: The Mediating Roles of Gratitude and Emotional Intelligence","Journal of Happiness Studies","","23","5","10.1007/s10902-021-00487-x","Sylvia Y. C. L. KwokMinmin GuNelson W. Y. Tam","2022","http://link.springer.com/article/10.1007/s10902-021-00487-x","Article"
"An annotated human blastocyst dataset to benchmark deep learning architectures for in vitro fertilization","Scientific Data","","10","1","10.1038/s41597-023-02182-3","Florian KrompRaphael WagnerBasak BalabanVéronique CottinIrene Cuevas-SaizClara SchachnerPeter FancsovitsMohamed FawzyLukas FischerNecati FindikliBorut KovačičDejan LjiljakIris Martínez-RoderoLodovico ParmegianiOmar SheblXie Min","2023","http://link.springer.com/article/10.1038/s41597-023-02182-3","Article"
"Unity and diversity of views on intelligence and consciousness: Where the East meets the West","Psychological Studies","","54","1","10.1007/s12646-009-0005-6","J. P. Das","2009","http://link.springer.com/article/10.1007/s12646-009-0005-6","Article"
"Trustworthy artificial intelligence in Alzheimer’s disease: state of the art, opportunities, and challenges","Artificial Intelligence Review","","56","10","10.1007/s10462-023-10415-5","Shaker El-SappaghJose M. Alonso-MoralTamer AbuhmedFarman AliAlberto Bugarín-Diz","2023","http://link.springer.com/article/10.1007/s10462-023-10415-5","Article"
"Dimensions of Emotional Intelligence and Their Relationships with Social Coping Among Gifted Adolescents in Hong Kong","Journal of Youth and Adolescence","","32","6","10.1023/A:1025982217398","David W. Chan","2003","http://link.springer.com/article/10.1023/A%3A1025982217398","Article"
"A systematic review of artificial intelligence impact assessments","Artificial Intelligence Review","","56","11","10.1007/s10462-023-10420-8","Bernd Carsten StahlJosephina AntoniouNitika BhallaLaurence BrooksPhilip JansenBlerta LindqvistAlexey KirichenkoSamuel MarchalRowena RodriguesNicole SantiagoZuzanna WarsoDavid Wright","2023","http://link.springer.com/article/10.1007/s10462-023-10420-8","Article"
"Abstracts from the 2023 Annual Meeting of the Society of General Internal Medicine","Journal of General Internal Medicine","","38","2","10.1007/s11606-023-08226-z","","2023","http://link.springer.com/article/10.1007/s11606-023-08226-z","Article"
"A Synthesis of Spiritual Intelligence Themes from Islamic and Western Philosophical Perspectives","Journal of Religion and Health","","55","6","10.1007/s10943-016-0226-7","Shamsiah Banu HanefarChe Zarrina Sa’ariSaedah Siraj","2016","http://link.springer.com/article/10.1007/s10943-016-0226-7","Article"
"An application of artificial intelligence for solving multi-visit scheduling and routing of multi-heterogeneous resources","Annals of Operations Research","","","","10.1007/s10479-024-05836-6","Rapeepan PitakasoKanchana SethananAjay KumarKim Hua TanNatthapong Nanthasamroeng","2024","http://link.springer.com/article/10.1007/s10479-024-05836-6","Article"
"II-Learn—A Novel Metric for Measuring the Intelligence Increase and Evolution of Artificial Learning Systems","International Journal of Computational Intelligence Systems","","12","2","10.2991/ijcis.d.191101.001","László Barna IantovicsDimitris K. IakovidisElena Nechita","2019","http://link.springer.com/article/10.2991/ijcis.d.191101.001","Article"
"Error, Error-Statistics and Self-Directed Anticipative Learning","Foundations of Science","","14","4","10.1007/s10699-008-9155-6","R. P. FarrellC. A. Hooker","2009","http://link.springer.com/article/10.1007/s10699-008-9155-6","Article"
"Disagreement in Scientific Ontologies","Journal for General Philosophy of Science","","45","1","10.1007/s10838-013-9234-4","David Ludwig","2014","http://link.springer.com/article/10.1007/s10838-013-9234-4","Article"
"Learning styles assessment and theoretical origin in an E-learning scenario: a survey","Artificial Intelligence Review","","42","4","10.1007/s10462-012-9344-0","L. Jegatha DeborahR. BaskaranA. Kannan","2014","http://link.springer.com/article/10.1007/s10462-012-9344-0","Article"
"The Mediating Role of Emotional Intelligence between Spiritual Intelligence and Mental Health Problems among Iranian Adolescents","Psychological Studies","","58","1","10.1007/s12646-012-0163-9","Siti Aishah HassanJafar Shabani","2013","http://link.springer.com/article/10.1007/s12646-012-0163-9","Article"
"Washington’s Cold War Diplomacy in Italy in the 1970s","Society","","51","5","10.1007/s12115-014-9818-6","Frédéric Heurtebize","2014","http://link.springer.com/article/10.1007/s12115-014-9818-6","Article"
"Artificial Intelligence & Games: Should Computational Psychology be Revalued?","Topoi","","24","2","10.1007/s11245-005-5090-0","Marco Ernandes","2005","http://link.springer.com/article/10.1007/s11245-005-5090-0","Article"
"Game-Based Learning: Increasing the Logical-Mathematical, Naturalistic, and Linguistic Learning Levels of Primary School Students","Journal of New Approaches in Educational Research","","7","1","10.7821/naer.2018.1.248","M. Esther del Moral PérezAlba P. Guzmán DuqueL. Carlota Fernández García","2018","http://link.springer.com/article/10.7821/naer.2018.1.248","Article"
"Big Historical Foundations for Deep Future Speculations: Cosmic Evolution, Atechnogenesis, and Technocultural Civilization","Foundations of Science","","22","1","10.1007/s10699-015-9434-y","Cadell Last","2017","http://link.springer.com/article/10.1007/s10699-015-9434-y","Article"
"The effects of emotional intelligence on job performance and life satisfaction for the research and development scientists in China","Asia Pacific Journal of Management","","25","1","10.1007/s10490-007-9062-3","Kenneth S. LawChi-Sum WongGuo-Hua HuangXiaoxuan Li","2008","http://link.springer.com/article/10.1007/s10490-007-9062-3","Article"
"Development and Validation of a Forced Choice Emotional Intelligence Measure for Chinese Respondents in Hong Kong","Asia Pacific Journal of Management","","21","4","10.1023/B:APJM.0000048717.31261.d0","Chi-Sum WongKenneth S. LawPing-Man Wong","2004","http://link.springer.com/article/10.1023/B%3AAPJM.0000048717.31261.d0","Article"
"The Smarter Sex: A Critical Review of Sex Differences in Intelligence","Educational Psychology Review","","12","2","10.1023/A:1009027516424","Diane F. HalpernMary L. LaMay","2000","http://link.springer.com/article/10.1023/A%3A1009027516424","Article"
"Science Teacher Perceptions of the State of Knowledge and Education at the Advent of Generative Artificial Intelligence Popularity","Science & Education","","","","10.1007/s11191-024-00534-y","Salvatore G. GarofaloStephen J. Farenga","2024","http://link.springer.com/article/10.1007/s11191-024-00534-y","Article"
"Using spatial and logical-mathematical intelligence for information wayfinding","Nature Chemistry","","15","11","10.1038/s41557-023-01349-0","Bruce C. Gibb","2023","http://link.springer.com/article/10.1038/s41557-023-01349-0","Article"
"Hybrid Modeling of Intelligence and Linguistic Factors as Predictors of L2 Writing Quality: A SEM Approach","Language Testing in Asia","","2","3","10.1186/2229-0443-2-3-53","Reza PishghadamMohammad Ali Shams","2012","http://link.springer.com/article/10.1186/2229-0443-2-3-53","Article"
"What Explains Boys’ Stronger Confidence in their Intelligence?","Sex Roles","","61","9 - 10","10.1007/s11199-009-9675-8","Ricarda SteinmayrBirgit Spinath","2009","http://link.springer.com/article/10.1007/s11199-009-9675-8","Article"
"Four Responsibility Gaps with Artificial Intelligence: Why they Matter and How to Address them","Philosophy & Technology","","34","4","10.1007/s13347-021-00450-x","Filippo Santoni de SioGiulio Mecacci","2021","http://link.springer.com/article/10.1007/s13347-021-00450-x","Article"
"Thirty years of Artificial Intelligence and Law: the first decade","Artificial Intelligence and Law","","30","4","10.1007/s10506-022-09329-4","Guido GovernatoriTrevor Bench-CaponBart VerheijMichał AraszkiewiczEnrico FrancesconiMatthias Grabmair","2022","http://link.springer.com/article/10.1007/s10506-022-09329-4","Article"
"Associations between the artificial intelligence scoring system and live birth outcomes in preimplantation genetic testing for aneuploidy cycles","Reproductive Biology and Endocrinology","","22","1","10.1186/s12958-024-01185-y","Chun-I LeeChun-Chia HuangTsung-Hsien LeeHsiu-Hui ChenEn-Hui ChengPin-Yao LinTzu-Ning YuChung-I ChenChien-Hong ChenMaw-Sheng Lee","2024","http://link.springer.com/article/10.1186/s12958-024-01185-y","Article"
"Immediate and long-term effects of a cognitive intervention on intelligence, self-regulation, and academic achievement","European Journal of Psychology of Education","","18","1","10.1007/BF03173604","M. Luisa Sanz de Acedo LizarragaM. Dolores UgarteM. Dolores IriarteM. Teresa Sanz de Acedo Baquedano","2003","http://link.springer.com/article/10.1007/BF03173604","Article"
"The Effects of Implicit Belief of Intelligence on Metacognitive Skills and Project Design Engagement in an invention practice","International Journal of Technology and Design Education","","33","3","10.1007/s10798-022-09761-2","Jon-Chao HongJianjun GuChi-Ruei Tsai","2023","http://link.springer.com/article/10.1007/s10798-022-09761-2","Article"
"M. Gams, M. Paprzycki and X. Wu, eds., Mind Versus Computer: Were Dreyfus and Winograd Right?, Frontiers in Artificial Intelligence and Applications, Vol. 43, Amsterdam: IOS Press, 1997, xiii + 235 pp. (paper), ISBN 90-5199-357-9.","Minds and Machines","","10","2","10.1023/A:1008361713173","Charles E. M. Dunlop","2000","http://link.springer.com/article/10.1023/A%3A1008361713173","Article"
"An Exploration of the Relationship Between Emotional Intelligence and Job Performance in Police Organizations","Journal of Police and Criminal Psychology","","27","1","10.1007/s11896-011-9088-9","Omar Ebrahim Al AliIain GarnerWissam Magadley","2012","http://link.springer.com/article/10.1007/s11896-011-9088-9","Article"
"Educational Policy on Emotional Intelligence: Does It Make Sense?","Educational Psychology Review","","12","2","10.1023/A:1009093231445","John D. MayerCasey D. Cobb","2000","http://link.springer.com/article/10.1023/A%3A1009093231445","Article"
"Emotional intelligence and eating disorders: a systematic review","Eating and Weight Disorders - Studies on Anorexia, Bulimia and Obesity","","26","5","10.1007/s40519-020-00968-7","Juana Romero-MesaMaría Angeles Peláez-FernándezNatalio Extremera","2021","http://link.springer.com/article/10.1007/s40519-020-00968-7","Article"
"Emotional and motivational intelligence in Ethiopian high school learners' writing performance in relation to gender differences","Asian-Pacific Journal of Second and Foreign Language Education","","9","1","10.1186/s40862-024-00282-0","Belete HilufMarew Alemu","2024","http://link.springer.com/article/10.1186/s40862-024-00282-0","Article"
"College Mothers' Academic Achievement Goals as Related to their Children's Attitudes Toward Learning","Social Psychology of Education","","6","4","10.1023/A:1025644506640","Robert B. RiccoDeanne G. McCollumSara Schuyten","2003","http://link.springer.com/article/10.1023/A%3A1025644506640","Article"
"Cross-sectional study of the relationship between trait emotional intelligence and career adaptability of Chinese youths","BMC Public Health","","23","1","10.1186/s12889-023-15372-w","Hok-Ko PongChi-Hung Leung","2023","http://link.springer.com/article/10.1186/s12889-023-15372-w","Article"
"Application of artificial intelligence techniques to predict log at gaps: a case study","Earth Science Informatics","","17","4","10.1007/s12145-024-01348-w","Samit MondalAshok YadavDheerendra Dayal","2024","http://link.springer.com/article/10.1007/s12145-024-01348-w","Article"
"Cultural Intelligence for Clinical Social Work Practice","Clinical Social Work Journal","","44","3","10.1007/s10615-015-0543-4","Janice Berry Edwards","2016","http://link.springer.com/article/10.1007/s10615-015-0543-4","Article"
"Abstract intelligence and cognitive robots","Paladyn","","1","1","10.2478/s13230-010-0007-z","Yingxu Wang","2010","http://link.springer.com/article/10.2478/s13230-010-0007-z","Article"
"CHIRON: Planning in an open-textured domain","Artificial Intelligence and Law","","9","4","10.1023/A:1013824413224","Kathryn E. Sanders","2001","http://link.springer.com/article/10.1023/A%3A1013824413224","Article"
"Genetic variation, brain, and intelligence differences","Molecular Psychiatry","","27","1","10.1038/s41380-021-01027-y","Ian J. DearySimon R. CoxW. David Hill","2022","http://link.springer.com/article/10.1038/s41380-021-01027-y","Article"
"The interaction effects of an instructor’s emotions in instructional videos and students’ emotional intelligence on L2 vocabulary learning","Educational technology research and development","","70","5","10.1007/s11423-022-10148-2","Fangfang ZhuJiumin YangZhongling Pi","2022","http://link.springer.com/article/10.1007/s11423-022-10148-2","Article"
"Social emotional ability development (SEAD): An integrated model of practical emotion-based competencies","Motivation and Emotion","","46","2","10.1007/s11031-021-09922-1","Victor W. HarrisJonathan AndersonBrian Visconti","2022","http://link.springer.com/article/10.1007/s11031-021-09922-1","Article"
"Improved prediction of clinical pregnancy using artificial intelligence with enhanced inner cell mass and trophectoderm images","Scientific Reports","","14","1","10.1038/s41598-024-52241-x","Hyung Min KimTaehoon KoHyoeun KangSungwook ChoiJong Hyuk ParkMi Kyung ChungMiran KimNa Young KimHye Jun Lee","2024","http://link.springer.com/article/10.1038/s41598-024-52241-x","Article"
"Mass balance of the Antarctic Ice Sheet from 2013 to 2018 estimated using the input-output method with updated remote sensing products","Science China Earth Sciences","","66","7","10.1007/s11430-022-1109-y","Yuan ChengGang HaiXiangbin CuiDa LvGang QiaoRongxing Li","2023","http://link.springer.com/article/10.1007/s11430-022-1109-y","Article"
"Assessment of Intelligence in the Preschool Period","Neuropsychology Review","","22","4","10.1007/s11065-012-9215-0","Ida Sue BaronKatherine Ann Leonberger","2012","http://link.springer.com/article/10.1007/s11065-012-9215-0","Article"
"Abstracts from the 2020 Annual Meeting of the Society of General Internal Medicine","Journal of General Internal Medicine","","35","1","10.1007/s11606-020-05890-3","","2020","http://link.springer.com/article/10.1007/s11606-020-05890-3","Article"
"Principal Component Clustered Factors for Determining Study Performance in Computer Programming Class","Wireless Personal Communications","","115","4","10.1007/s11277-020-07194-5","Unhawa NinrutsirikunHideyuki ImaiBunthit WatanapaChonlameth Arpnikanondt","2020","http://link.springer.com/article/10.1007/s11277-020-07194-5","Article"
"A review of artificial intelligence applications in in vitro fertilization","Journal of Assisted Reproduction and Genetics","","","","10.1007/s10815-024-03284-6","Qing ZhangXiaowen LiangZhiyi Chen","2024","http://link.springer.com/article/10.1007/s10815-024-03284-6","Article"
"Not quite eye to A.I.: student and teacher perspectives on the use of generative artificial intelligence in the writing process","International Journal of Educational Technology in Higher Education","","20","1","10.1186/s41239-023-00427-0","Alex BarrettAustin Pack","2023","http://link.springer.com/article/10.1186/s41239-023-00427-0","Article"
